TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
JOUR,Natural language understanding for argumentative dialogue systems in the opinion building domain,"Abro, Waheed Ahmed",Knowledge-Based Systems,242,108318,2022,2022/04/22/,0950-7051,https://doi.org/10.1016/j.knosys.2022.108318,https://www.sciencedirect.com/science/article/pii/S0950705122001149,Natural language understanding,"This paper introduces a natural language understanding (NLU) framework for argumentative dialogue systems in the information-seeking and opinion building domain. The proposed framework consists of two sub-models, namely intent classifier and argument similarity. Intent classifier model stack BiLSTM with attention mechanism on top of pre-trained BERT model and fine-tune the model for recognizing the user intent, whereas argument similarity model employs BERT+BiLSTM for identifying system arguments the user refers to in his or her natural language utterances. Our model is evaluated in an argumentative dialogue system that engages the user to inform him-/herself about a controversial topic by exploring pro and con arguments and build his/her opinion towards the topic. In order to evaluate the proposed approach, we collect user utterances for the interaction with the respective system labelling intent and referenced argument in an extensive online study. The data collection includes multiple topics and two different user types (native English speakers from the UK and non-native English speakers from China). Additionally, we evaluate the proposed intent classifier and argument similarity models separately on the publicly available Banking77 and STS benchmark datasets. The evaluation indicates a clear advantage of the utilized techniques over baseline approaches on several datasets, as well as the robustness of the proposed approach against new topics and different language proficiency as well as the cultural background of the user. Furthermore, results show that our intent classifier model outperforms DIET, DistillBERT, and BERT fine-tuned models in few-shot setups (i.e., with 10, 20, or 30 labelled examples per intent) and full data setup.",,,,,
,,"Aicher, Annalena",,,,,,,,,Intent classification,,,,,,
,,"Rach, Niklas",,,,,,,,,Sentence similarity,,,,,,
,,"Ultes, Stefan",,,,,,,,,Argumentative dialogue system,,,,,,
,,"Minker, Wolfgang",,,,,,,,,Human–computer interaction,,,,,,
,,"Qi, Guilin",,,,,,,,,,,,,,,
JOUR,How can we detect Homophobia and Transphobia? Experiments in a multilingual code-mixed setting for social media governance,"Chakravarthi, Bharathi Raja",International Journal of Information Management Data Insights,2,100119,2022,2022/11/01/,2667-0968,https://doi.org/10.1016/j.jjimei.2022.100119,https://www.sciencedirect.com/science/article/pii/S2667096822000623,Homophobia detection,"Homophobia or Transphobia can be defined as the hatred, discomfort, or dislike of lesbian, gay, transgender or bisexual people. Studies have shown that these individuals were more likely to develop mental health issues, likely due to being subjected to more forms of abuse on social media. Hence there is an ardent need to develop automated abusive speech detection systems to tackle the abusive content on social media. There has been an elevation in hate speech or abuse and this paper focuses on the LGBTQIA+ community. Due to the shortage of resources in the said study area, we hypothesize that data augmentation via Pseudolabeling by transliterating the code-mixed text to the parent language will improve the models’ performances on the newly constructed dataset. We put our hypothesis into testing, and studied the performances of several multilingual language models for our cause.",2,,,,
,,"Hande, Adeep",,,,,,,,,Transphobia detection,,,,,,
,,"Ponnusamy, Rahul",,,,,,,,,Hate speech detection,,,,,,
,,"Kumaresan, Prasanna Kumar",,,,,,,,,,,,,,,
,,"Priyadharshini, Ruba",,,,,,,,,,,,,,,
JOUR,DictPrompt: Comprehensive dictionary-integrated prompt tuning for pre-trained language model,"Cao, Rui",Knowledge-Based Systems,273,110605,2023,2023/08/03/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110605,https://www.sciencedirect.com/science/article/pii/S0950705123003556,Pre-trained language model,"The textual semantics contained in the PLM (Pre-trained Language Model) is constrained by the text distribution in the original training corpus. Due to the lack of sufficient contextual training corpus, the low-frequency word representations in the PLM often have difficulty capturing their actual semantics. Previous research has shown that using semantic information from dictionaries can alleviate this problem. Unfortunately, these works neglected the infinite potential of example sentences from different target words with various meanings. To re-explore methods for enhancing PLM using the dictionary, we propose a novel Comprehensive Dictionary-based tuning approach integrating the latest Prompt learning (DictPrompt). We first collect a dataset based on the Oxford Advanced Learner’s English Dictionary. Then, we designed a set of comprehensive prompt templates with the corpus combining the word, the definition, and its example sentence. Finally, we insert a word game training task between pre-training and fine-tuning using these templates, allowing the model to inject more semantic information into PLM. We test our Dictprompt tuning method on three commonly used PLMs. The testing results on five fine-grained semantic tasks show that our dictionary-based secondary tuning can bring additional gains to the model’s performance. The best accuracy improves 3.09% on average with our tuning on the WiC task and 7.93% on the WSC task. We also plot the sentence embedding scatters of polysemy words. Our method can smooth the decision boundary and help the model output more distinguishable embedding. The code is available at https://github.com/xbdxwyh/Dictprompt.",,,,,
,,"Wang, Yihao",,,,,,,,,Prompt learning,,,,,,
,,"Gao, Ling",,,,,,,,,Dictionary information,,,,,,
,,"Yang, Meng",,,,,,,,,Masked language model,,,,,,
,,,,,,,,,,,Word game task,,,,,,
JOUR,Creating deep neural networks for text classification tasks using grammar genetic programming,"Magalhães, Dimmy",Applied Soft Computing,135,110009,2023,2023/03/01/,1568-4946,https://doi.org/10.1016/j.asoc.2023.110009,https://www.sciencedirect.com/science/article/pii/S1568494623000273,Text classification,"Text classification is one of the Natural Language Processing (NLP) tasks. Its objective is to label textual elements, such as phrases, queries, paragraphs, and documents. In NLP, several approaches have achieved promising results regarding this task. Deep Learning-based approaches have been widely used in this context, with deep neural networks (DNNs) adding the ability to generate a representation for the data and a learning model. The increasing scale and complexity of DNN architectures was expected, creating new challenges to design and configure the models. In this paper, we present a study on the application of a grammar-based evolutionary approach to the design of DNNs, using models based on Convolutional Neural Networks (CNNs), Long Short-Term Memory (LSTM), and Graph Neural Networks (GNNs). We propose different grammars, which were defined to capture the features of each type of network, also proposing some combinations, verifying their impact on the produced designs and performance of the generated models. We create a grammar that is able to generate different networks specialized on text classification, by modification of Grammatical Evolution (GE), and it is composed of three main components: the grammar, mapping, and search engine. Our results offer promising future research directions as they show that the projected architectures have a performance comparable to that of their counterparts but can still be further improved. We were able to improve the results of a manually structured neural network in 8,18% in the best case.",,,,,
